N,P,K,temperature,humidity,ph,rainfall,label
99,60,37,25,85,6.435611714,208,rice
76,58,35,23,82,7.493372258,215,rice
60,40,45,21,85,6.078045204,272,rice
72,52,45,24,81,7.221018619,183,rice
68,52,36,26,80,5.595849692,208,rice
95,36,43,27,81,7.377421909,278,rice
62,45,41,24,80,7.045314674,246,rice
92,47,36,27,82,7.327492281,225,rice
92,43,45,27,85,6.604277539,239,rice
79,55,37,21,83,6.875509077,199,rice
81,54,38,24,82,5.73992279,273,rice
67,50,45,25,81,7.468079554,285,rice
60,59,42,21,82,6.841352859,297,rice
74,53,37,27,82,5.607522903,255,rice
76,43,40,25,83,6.041434808,231,rice
65,42,40,25,85,6.131071659,188,rice
82,37,38,26,80,7.020271386,298,rice
97,46,41,27,84,7.211099015,251,rice
89,40,45,23,82,5.605160657,224,rice
70,44,35,23,81,5.653999743,256,rice
100,52,38,25,82,7.30485208,213,rice
62,58,43,27,81,6.088997988,199,rice
85,36,39,27,80,7.256130912,195,rice
84,51,41,24,82,7.05505198,187,rice
68,50,40,21,85,7.196313951,287,rice
72,51,40,27,83,6.965923645,261,rice
75,41,35,27,83,5.811008195,265,rice
70,40,35,24,84,6.803771155,223,rice
82,35,38,24,83,6.017765722,256,rice
82,35,41,23,84,6.670340255,260,rice
66,35,36,20,81,6.659810893,262,rice
64,57,40,27,82,6.46711068,286,rice
73,57,43,23,84,6.882601683,264,rice
84,47,45,22,82,6.353345189,181,rice
94,40,45,24,80,6.26940087,211,rice
80,43,41,23,81,6.443344924,273,rice
76,56,38,23,81,6.974025283,213,rice
77,36,36,22,85,6.190557664,300,rice
67,58,37,24,84,5.770365297,202,rice
70,46,41,25,81,6.188970972,192,rice
97,42,44,25,85,6.439041196,194,rice
71,40,38,24,85,6.588428484,251,rice
81,53,35,24,81,7.169750477,258,rice
64,51,45,23,81,6.15195116,265,rice
82,41,41,27,85,7.442537144,225,rice
87,40,40,25,85,6.453401438,192,rice
97,58,45,26,84,5.868995287,196,rice
83,41,44,27,82,6.220816084,191,rice
68,39,41,23,83,6.622518749,231,rice
76,39,43,27,83,5.889312196,300,rice
65,49,36,27,80,7.47874179,283,rice
91,60,44,23,83,6.409785987,217,rice
88,45,41,20,80,5.683119651,202,rice
80,59,38,20,80,5.963099837,184,rice
76,55,42,27,82,6.885091617,274,rice
79,42,38,25,83,5.843463511,211,rice
65,37,35,25,85,6.101657105,193,rice
100,53,39,20,85,5.656034478,287,rice
70,41,41,24,83,5.93761046,300,rice
98,45,37,23,81,6.734971716,298,rice
100,41,35,25,84,6.248776602,208,rice
90,59,35,25,83,7.390981394,271,rice
92,47,43,24,84,6.634565227,287,rice
72,40,41,20,85,7.411007301,194,rice
83,38,37,22,80,5.647045441,187,rice
99,43,44,20,84,5.532177442,246,rice
95,47,43,22,81,5.866286712,219,rice
89,42,37,23,83,5.693161379,289,rice
71,39,37,23,82,5.78814412,190,rice
99,43,39,21,83,7.490589683,283,rice
88,60,36,20,80,5.68567836,239,rice
87,36,39,25,83,7.238406195,206,rice
92,37,39,20,85,5.901580943,184,rice
97,48,40,27,85,6.208612508,264,rice
